OSEBuildingID,CouncilDistrictCode,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),NumberofFloors,YearBuilt,Longitude,BuildingType,PrimaryPropertyType,Neighborhood,DefaultData,Latitude,ComplianceStatus,NumberofBuildings,TotalGHGEmissions,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,LargestPropertyUseType,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
24288,1.0,26843.0,2514.0,24329.0,5.0,1997.0,-122.38902675,Multifamily MR (5-9),Mid-Rise Multifamily,SOUTHWEST,No,47.562772210000006,Compliant,1.0,17.36,"Multifamily Housing, Parking",21815.0,Multifamily Housing,99.5,0.5134447132586063,0.4865652981899354,0.0,0.0,589949.59375
24289,1.0,26280.0,0.0,26280.0,4.0,1969.0,-122.38917394999999,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHWEST,No,47.56198965,Compliant,1.0,17.425,Multifamily Housing,24695.0,Multifamily Housing,87.5,0.6498694804827966,0.35014254820121815,0.0,0.0,753407.4375
24292,1.0,26970.0,0.0,26970.0,4.0,1980.0,-122.3769677,Multifamily LR (1-4),Low-Rise Multifamily,SOUTHWEST,No,47.53313099499999,Compliant,1.0,4.75,"Multifamily Housing, Non-Refrigerated Warehouse, Parking",26970.0,Multifamily Housing,,1.0000215387878282,0.0,0.0,0.0,681909.3125
24306,3.0,46225.0,3756.0,42469.0,5.0,2005.0,-122.32194641,Multifamily MR (5-9),Mid-Rise Multifamily,EAST,No,47.618526065,Compliant,1.0,45.59,"Multifamily Housing, Parking",39865.0,Multifamily Housing,84.5,0.5434853105009168,0.45652564370875715,0.0,0.0,1626087.1875
24312,3.0,34040.0,4155.5,29884.5,4.0,1928.0,-122.3158502,Multifamily LR (1-4),Low-Rise Multifamily,EAST,No,47.618499959999994,Compliant,1.0,27.205,"Multifamily Housing, Parking",29884.5,Multifamily Housing,94.0,0.5546244779008382,0.4453865541280224,0.0,0.0,988576.094
24332,2.0,23750.0,0.0,23750.0,1.0,1970.0,-122.3279002,NonResidential,Warehouse,GREATER DUWAMISH,No,47.578097854999996,Compliant,1.0,3.705,"Non-Refrigerated Warehouse, Office",19430.0,Non-Refrigerated Warehouse,,1.0000214865198578,0.0,0.0,0.0,530856.09375
24333,2.0,43390.0,0.0,43390.0,1.0,1970.0,-122.32659895,NonResidential,Warehouse,GREATER DUWAMISH,No,47.578296095,Compliant,1.0,3.6,"Non-Refrigerated Warehouse, Office",36430.0,Non-Refrigerated Warehouse,88.0,1.000020520823339,0.0,0.0,0.0,516243.90625
24344,2.0,35400.0,0.0,35400.0,1.0,1959.0,-122.3270204,NonResidential,Warehouse,GREATER DUWAMISH,No,47.582588900000005,Compliant,1.0,6.095,Non-Refrigerated Warehouse,35400.0,Non-Refrigerated Warehouse,77.5,0.8348952635698836,0.1651254559510092,0.0,0.0,417782.34375
24348,2.0,28144.0,0.0,28144.0,1.0,1966.0,-122.32839595,NonResidential,Distribution Center,GREATER DUWAMISH,No,47.58515176,Compliant,1.0,8.375,"Distribution Center, Office",22201.0,Distribution Center,24.5,0.9258184567220021,0.07419892225514572,0.0,0.0,805571.0
24351,2.0,71283.0,0.0,71283.0,3.0,1916.0,-122.32823060000001,NonResidential,Warehouse,GREATER DUWAMISH,No,47.584293450000004,Compliant,1.0,39.365,"Non-Refrigerated Warehouse, Office",57910.0,Non-Refrigerated Warehouse,42.5,0.7977157161839388,0.20230080072852527,0.0,0.0,2414192.125
24354,2.0,23792.0,0.0,23792.0,1.0,1989.0,-122.3280595,NonResidential,Warehouse,GREATER DUWAMISH,No,47.58668608,Compliant,1.0,19.515,"Non-Refrigerated Warehouse, Office",22992.0,Non-Refrigerated Warehouse,,1.0000202240927698,0.0,0.0,0.0,2799878.375
24356,2.0,47368.0,0.0,47368.0,2.0,1979.0,-122.32830755,NonResidential,Small- and Mid-Sized Office,GREATER DUWAMISH,No,47.588952015,Compliant,1.0,26.759999999999998,"Office, Parking",47368.0,Office,96.0,0.7650643702085622,0.23495339328742032,0.0,0.0,1502378.8125
24358,2.0,46183.0,0.0,46183.0,1.0,1931.0,-122.32664645,NonResidential,Mixed Use Property,GREATER DUWAMISH,No,47.58870127,Compliant,1.0,29.955,"Food Service, Non-Refrigerated Warehouse, Retail Store",18871.0,Non-Refrigerated Warehouse,,0.8164436343212091,0.1835732492129502,0.0,0.0,1939759.75
24359,3.0,72613.0,22788.0,49825.0,5.0,1984.0,-122.3137251,NonResidential,Small- and Mid-Sized Office,CENTRAL,No,47.60593368000001,Compliant,1.0,39.22,"Office, Parking",49825.0,Office,84.5,0.8190272525651147,0.18098998615774506,0.0,0.0,2559644.375
24363,3.0,20931.0,0.0,20931.0,2.0,1962.0,-122.3092959,Multifamily LR (1-4),Low-Rise Multifamily,CENTRAL,No,47.605825845,Compliant,1.0,68.91499999999999,Multifamily Housing,20931.0,Multifamily Housing,33.5,0.17683997922044717,0.8231638120736247,0.0,0.0,1533117.6875
24374,2.0,36071.0,0.0,36071.0,1.0,1968.0,-122.28783485,NonResidential,Retail Store,SOUTHEAST,Yes,47.565146495,Error - Correct Default Data,1.0,98.96,Retail Store,36071.0,Retail Store,83.0,0.3407481489525672,0.6592608948589379,0.0,0.0,2646837.5625
